aeropuerto,vuelo,aerolinea,origen,hora_04sep,hora_baseline,delta_min,clasificacion,confianza,en_franja_paro,hora_estimada_04sep,demora_est_min,codigos_compartidos,n_baselines,nota
AEP,AR 1777,AEROLINEAS ARGENTINAS,IGR,13:05,13:30,-25,CAMBIO_HORARIO,baja,NO,,,,4,
AEP,AR 1857,AEROLINEAS ARGENTINAS,RGL,13:20,12:55,25,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,WJ 3192,JETSMART AIRLINES,REL,15:27,15:52,-25,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,AR 1447,AEROLINEAS ARGENTINAS,UAQ,17:30,17:55,-25,CAMBIO_HORARIO,baja,NO,,,,3,
AEP,AR 1657,AEROLINEAS ARGENTINAS,CPC,17:15,16:55,20,CAMBIO_HORARIO,baja,NO,,,,3,
AEP,AR 1687,AEROLINEAS ARGENTINAS,BRC,23:45,23:25,20,CAMBIO_HORARIO,baja,NO,,,,1,
EZE,EK 9921,EMIRATES,DWC,08:25,08:45,-20,CAMBIO_HORARIO,baja,NO,,,,1,
EZE,AR 1625,AEROLINEAS ARGENTINAS,BHI,20:50,20:30,20,CAMBIO_HORARIO,baja,SI,,,,3,
AEP,AR 1591,AEROLINEAS ARGENTINAS,RCU,12:45,12:30,15,CAMBIO_HORARIO,baja,NO,,,,2,
AEP,AR 1779,AEROLINEAS ARGENTINAS,IGR,15:35,15:50,-15,CAMBIO_HORARIO,baja,NO,,,,2,
AEP,AR 1781,AEROLINEAS ARGENTINAS,IGR,16:50,17:05,-15,CAMBIO_HORARIO,baja,NO,,,,3,
AEP,AR 1623,AEROLINEAS ARGENTINAS,BHI,18:55,18:40,15,CAMBIO_HORARIO,baja,SI,,,,1,
AEP,WJ 3157,JETSMART AIRLINES,IGR,10:49,10:37,12,CAMBIO_HORARIO,baja,SI,,,,1,
AEP,WJ 3032,JETSMART AIRLINES,CRD,19:54,19:42,12,CAMBIO_HORARIO,baja,SI,,,,4,
AEP,AR 1453,AEROLINEAS ARGENTINAS,IRJ,12:55,12:45,10,CAMBIO_HORARIO,baja,NO,,,,2,
AEP,AR 1643,AEROLINEAS ARGENTINAS,NQN,16:45,16:35,10,CAMBIO_HORARIO,baja,NO,,,,4,
AEP,AR 1829,AEROLINEAS ARGENTINAS,CRD,18:35,18:25,10,CAMBIO_HORARIO,baja,SI,,,,4,
AEP,AR 1543,AEROLINEAS ARGENTINAS,COR,19:30,19:40,-10,CAMBIO_HORARIO,baja,SI,,,,2,
AEP,AR 1679,AEROLINEAS ARGENTINAS,BRC,21:25,21:35,-10,CAMBIO_HORARIO,baja,NO,,,,2,
AEP,AR 1835,AEROLINEAS ARGENTINAS,CRD,22:50,23:00,-10,CAMBIO_HORARIO,baja,NO,,,,1,
EZE,WJ 3237,JETSMART AIRLINES,TUC,16:28,16:18,10,CAMBIO_HORARIO,baja,NO,,,,2,
AEP,AR 1361,AEROLINEAS ARGENTINAS,BOG,04:40,04:35,5,CAMBIO_HORARIO,baja,NO,,,,2,
AEP,AR 1771,AEROLINEAS ARGENTINAS,IGR,10:35,10:40,-5,CAMBIO_HORARIO,baja,SI,,,,2,
AEP,AR 1621,AEROLINEAS ARGENTINAS,BHI,16:35,16:30,5,CAMBIO_HORARIO,baja,NO,,,,3,
AEP,AR 1499,AEROLINEAS ARGENTINAS,SLA,19:55,19:50,5,CAMBIO_HORARIO,baja,SI,,,,2,
AEP,AR 1613,AEROLINEAS ARGENTINAS,MDQ,23:20,23:15,5,CAMBIO_HORARIO,baja,NO,,,,2,
AEP,AR 1467,AEROLINEAS ARGENTINAS,RHD,00:10,,,NUEVO,,NO,,,,0,
AEP,WJ 3115,JETSMART AIRLINES,COR,00:31,,,NUEVO,,NO,,,,0,
AEP,AR 1221,AEROLINEAS ARGENTINAS,SSA,06:00,,,NUEVO,,NO,,,,0,
AEP,G3 7006,GOL LINHAS AÉREAS,SSA,08:00,,,NUEVO,,NO,,,G3 7212,0,
AEP,AR 1471,AEROLINEAS ARGENTINAS,TUC,11:50,,,NUEVO,,SI,,,,0,
AEP,WJ 3206,JETSMART AIRLINES,USH,13:28,,,NUEVO,,NO,,,,0,
AEP,AR 1841,AEROLINEAS ARGENTINAS,FTE,15:30,,,NUEVO,,NO,,,,0,
AEP,AR 1283,AEROLINEAS ARGENTINAS,SCL,17:40,,,NUEVO,,NO,,,,0,
AEP,WJ 3056,JETSMART AIRLINES,BRC,18:50,,,NUEVO,,SI,,,,0,
AEP,WJ 3174,JETSMART AIRLINES,NQN,20:32,,,NUEVO,,SI,,,,0,
AEP,AR 1713,AEROLINEAS ARGENTINAS,ROS,21:05,,,NUEVO,,NO,,,,0,
AEP,AR 1267,AEROLINEAS ARGENTINAS,GIG,21:40,,,NUEVO,,NO,,,,0,
AEP,AR 1309,AEROLINEAS ARGENTINAS,GIG,22:30,,,NUEVO,,NO,,,,0,
AEP,WJ 3780,JETSMART AIRLINES,GIG,22:40,,,NUEVO,,NO,,,,0,
AEP,AR 1537,AEROLINEAS ARGENTINAS,COR,22:55,,,NUEVO,,NO,,,,0,
AEP,WJ 3159,JETSMART AIRLINES,IGR,23:05,,,NUEVO,,NO,,,,0,
EZE,WJ 3170,JETSMART AIRLINES,NQN,00:09,,,NUEVO,,NO,,,,0,
EZE,WJ 3052,JETSMART AIRLINES,BRC,00:10,,,NUEVO,,NO,,,,0,
EZE,WJ 3009,JETSMART AIRLINES,SLA,11:04,,,NUEVO,,SI,,,,0,
EZE,O4 651,ANDES LINEAS AEREAS,BRC,13:40,,,NUEVO,,NO,,,,0,
EZE,AD 2091,AZUL LINHAS AEREAS BRASILEIRAS,VCP,14:00,,,NUEVO,,NO,,,,0,
EZE,O4 657,ANDES LINEAS AEREAS,BRC,14:55,,,NUEVO,,NO,,,,0,
EZE,AR 1659,AEROLINEAS ARGENTINAS,CPC,19:45,,,NUEVO,,SI,,,,0,
EZE,O4 653,ANDES LINEAS AEREAS,BRC,20:00,,,NUEVO,,SI,,,,0,
EZE,DM 6200,ARAJET,PUJ,20:15,,,NUEVO,,SI,,,,0,
EZE,AR 1415,AEROLINEAS ARGENTINAS,MDZ,20:35,,,NUEVO,,SI,,,,0,
EZE,O4 659,ANDES LINEAS AEREAS,BRC,21:05,,,NUEVO,,NO,,,,0,
